canonical_label,display_name_ko,display_name_en,category,is_active,notes
psoriasis,??,Psoriasis,skin_disease,True,image_class
atopic_dermatitis,??? ???,Atopic Dermatitis,skin_disease,True,image_class
acne,???,Acne,skin_disease,True,image_class
normal,??,Normal,normal,True,image_class
rosacea,??,Rosacea,skin_disease,True,image_class; keep independent from facial_flushing
seborrheic_dermatitis,??? ???,Seborrheic Dermatitis,skin_disease,True,image_class
facial_flushing,????,Facial Flushing,related_concept,True,do not merge into rosacea
